nuc_rRNA,nuc_RP,nuc_pol,nuc_AARS,nuc_tRNA,minV_R,minV_H,minV_G,Ntotal_R,Ntotal_H,Ntotal_D,ribo_R,pol_R,ribo_H,pol1_H,pol2_H,ribo_D,pol1_D,pol2_D,nuc_y,nuc_z_to_nuc_y_ratio,kpol_to_kribo_ratio
4035,7604,1713,250000,1228311.12929512,883.362927176138,625.811467255757,138.809501747214,89,97,17,22,5,23,5,5,3,1,1,250000,5,100
4396,8969,1737,250000,1169079.71584021,0,626.870196134336,708.225060809129,0,100,86,0,0,24,5,5,15,5,5,250000,5,100
4021,6152,1532,250000,1153157.92609468,0,595.089658027684,646.628459675957,0,98,86,0,0,24,5,5,16,5,5,250000,5,100
4083,8246,1626,250000,1168180.72702513,0,619.323254387808,654.272947774886,0,100,86,0,0,24,5,5,16,5,5,250000,5,100
4172,6489,1798,250000,1365161.66803348,0,642.146038776432,743.682950397723,0,96,84,0,0,22,5,5,14,5,5,250000,5,100
4423,8159,1541,250000,1246537.28546391,896.391720581897,634.466663566283,138.039967830987,89,97,17,22,5,23,5,5,3,1,1,250000,5,100
4277,6155,1600,250000,1239014.98659843,875.183100367891,610.865236671415,137.205190066852,88,97,17,22,5,23,5,5,3,1,1,250000,5,100
4031,8527,1674,250000,1256338.62328511,168.706674624105,711.900942767019,138.929750544463,18,98,17,5,1,21,5,5,3,1,1,250000,5,100
4088,8394,1640,250000,1203724.51211251,879.689335448927,628.404686387433,670.581075559078,90,99,86,23,5,24,5,5,16,5,5,250000,5,100
4367,7837,1704,250000,1287123.0472387,911.12188043059,639.887970197306,141.741963613488,88,97,17,22,5,23,5,5,3,1,1,250000,5,100
4223,6026,1683,250000,1314933.84838098,906.797950987373,636.326273420644,720.582747596221,88,96,84,22,5,22,5,5,14,5,5,250000,5,100
4480,8507,1792,250000,1370671.23879397,952.922684131606,663.170815905857,0,87,96,0,21,5,22,5,5,0,0,0,250000,5,100
4206,6255,1691,250000,1318439.6730577,910.329257022244,630.392086014169,722.263801648835,88,97,84,22,5,23,5,5,14,5,5,250000,5,100
4317,8444,1603,250000,1327399.56268751,933.569278844553,653.662108030073,145.43244617185,88,97,17,22,5,23,5,5,3,1,1,250000,5,100
4050,7845,1596,250000,1318679.79311672,866.655112246078,646.046846877624,144.55752659397,89,97,17,24,5,23,5,5,3,1,1,250000,5,100
4274,6518,1755,250000,1156573.12748126,0,0,0,0,0,0,0,0,0,0,0,0,0,0,250000,5,100
4090,8342,1658,250000,1206365.46462801,880.374537170496,628.344933437151,670.358659986733,90,98,86,23,5,24,5,5,16,5,5,250000,5,100
4374,7580,1730,250000,1239268.1435085,888.234678953624,463.006954673436,137.364941387689,89,104,17,22,5,34,5,5,3,1,1,250000,5,100
4361,7729,1550,250000,1277800.09523591,905.973346913338,817.86737870983,141.077875547021,88,97,17,22,5,18,5,5,3,1,1,250000,5,100
4258,6249,1545,250000,1269829.01872847,803.647361384598,620.25422628772,140.006926801941,90,97,17,26,5,23,5,5,3,1,1,250000,5,100
4345,7338,1629,250000,1171582.36388234,776.433204660306,610.965919787692,655.737041119819,92,98,86,27,5,24,5,5,16,5,5,250000,5,100
4450,6854,1719,250000,1170283.10461628,0,606.064117614295,0,0,98,0,0,0,24,5,5,0,0,0,250000,5,100
4243,6146,1678,250000,1134285.74179943,829.348497050553,0,638.300083128057,90,0,86,23,5,0,0,0,16,5,5,250000,5,100
4235,8619,1722,250000,1128570.04654115,766.17255966703,614.75241147616,636.465171747942,93,100,87,28,5,24,5,5,17,5,5,250000,5,100
4492,8600,1731,250000,1198522.30804265,0,629.348494541051,668.635383004261,0,99,86,0,0,24,5,5,16,5,5,250000,5,100
4497,8516,1717,250000,1329785.75236861,1068.53489006778,655.087028409824,145.883293753574,88,97,17,18,5,23,5,5,3,1,1,250000,5,100
4076,6784,1696,250000,1190712.56398216,822.142932116438,609.715811647589,721.538324841399,90,98,86,24,5,24,5,5,14,5,5,250000,5,100
4335,6840,1521,250000,1352736.24903278,1022.70312376279,642.501502041182,738.024022896545,87,96,84,19,5,22,5,5,14,5,5,250000,5,100
