nuc_rRNA,nuc_RP,nuc_pol,nuc_AARS,nuc_tRNA,minV_R,minV_H,minV_G,Ntotal_R,Ntotal_H,Ntotal_D,ribo_R,pol_R,ribo_H,pol1_H,pol2_H,ribo_D,pol1_D,pol2_D,nuc_y,nuc_z_to_nuc_y_ratio
4165,6163,1720,250000,2713131.27249891,0,926.592323031233,1388.22407693008,0,108,130,0,0,5,12,12,5,17,17,250000,10
4243,6084,1529,250000,2512689.89661337,0,866.33843821784,1427.65902050101,0,107,134,0,0,5,10,10,5,14,19,250000,10
4014,7391,1518,250000,2497844.33750619,0,861.279784907961,1302.22120835001,0,108,127,0,0,5,12,12,5,16,16,250000,10
4367,7438,1635,250000,2518929.16546147,0,0,1296.16009642466,0,0,127,0,0,0,0,0,5,15,15,250000,10
4242,8949,1584,250000,2434990.05596256,0,843.705470327023,1254.35028100326,0,106,126,0,0,5,9,9,5,18,18,250000,10
4112,6231,1746,250000,2421809.89852791,0,837.39211921295,1254.8133971531,0,107,127,0,0,5,12,12,5,14,14,250000,10
4404,8304,1785,250000,2510329.90218705,0,866.310813639314,1297.08338477275,0,106,126,0,0,5,11,11,5,16,16,250000,10
4251,6649,1779,250000,2563908.63014623,0,881.517548009707,1316.7154311256,0,107,127,0,0,5,10,10,5,17,17,250000,10
4009,8009,1670,250000,2701218.15937365,0,925.835185747324,1389.89797340976,0,110,129,0,0,5,11,11,5,16,16,250000,10
4227,6323,1783,250000,2348524.363155,0,817.731070084945,1222.50715748779,0,107,126,0,0,5,10,10,5,14,14,250000,10
4370,6909,1623,250000,2472370.32393759,0,884.125753749977,1277.37202956561,0,123,127,0,0,5,5,5,5,15,15,250000,10
4329,7470,1561,250000,2250424.76346743,0,0,1190.64726431731,0,0,124,0,0,0,0,0,5,15,15,250000,10
4481,8792,1768,250000,2550052.65187844,0,886.909750998833,1315.98386480711,0,108,127,0,0,5,10,11,5,16,16,250000,10
4257,6320,1790,250000,2567870.53084328,0,882.313785590908,1320.5282623467,0,108,127,0,0,5,12,12,5,14,14,250000,10
4009,8134,1511,250000,2333032.85844615,0,811.586345877697,242.834260683846,0,105,25,0,0,5,9,9,1,3,3,250000,10
4174,8668,1521,250000,2571091.71099589,0,884.758201889138,1318.69281048583,0,109,128,0,0,5,10,10,5,18,18,250000,10
4459,7476,1673,250000,2741321.11406049,0,935.475502116121,1406.50726453745,0,109,129,0,0,5,12,12,5,16,16,250000,10
4487,6309,1686,250000,2494950.14842774,0,859.84976880476,1287.27885765564,0,107,126,0,0,5,12,12,5,17,17,250000,10
4130,8705,1787,250000,2546076.88518009,0,877.78586904311,1310.90428402695,0,109,127,0,0,5,10,10,5,17,17,250000,10
4409,8466,1727,250000,2685257.34128581,0,918.865892476941,1371.63628092792,0,108,128,0,0,5,12,12,5,16,16,250000,10
